Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2005021576161,2005-01-26 00:00:00,2004-12-08 00:00:00,ONT,Ontario International,Skywest Airlines Inc USA,Property Damage,Checked Baggage,Other,433.98,Denied,0.0,Deny,49.0,433.98
2006122217727,2006-12-18 00:00:00,2006-12-08 00:00:00,LAS,McCarran International,Allegiant Air,Property Damage,Checked Baggage,Luggage (all types including footlockers),19.99,Denied,0.0,Deny,10.0,19.99
2004052653583,2004-04-15 00:00:00,2004-03-24 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,120.0,Approved,120.0,Approve in Full,22.0,0.0
2008012938784,2008-01-16 00:00:00,2008-01-08 00:00:00,ABR,Aberdeen Regional Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,100.0,Denied,0.0,Deny,8.0,100.0
2007061827100,2007-06-14 00:00:00,2007-05-21 00:00:00,LGA,LaGuardia,Delta Air Lines,Property Damage,Checked Baggage,Ceramics - Animals; etc.; Dishes; Pottery; Glassware; Plasticware; Other,98.48,Approved,98.48,Approve in Full,24.0,0.0
2009121666605,2009-12-11 00:00:00,2009-12-07 00:00:00,ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Alcoholic beverages,76.66,Denied,0.0,Deny,4.0,76.66
2008061845863,2008-06-16 00:00:00,2008-06-15 00:00:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop; Other,722.0,Denied,0.0,Deny,1.0,722.0
2009083163169,2009-08-27 00:00:00,2009-08-03 00:00:00,ABQ,Albuquerque International Sunport Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers); Medicines,370.0,Denied,0.0,Deny,24.0,370.0
2007050825107,2007-05-04 00:00:00,2007-04-20 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),380.0,Settled,190.0,Settle,14.0,190.0
2007082130557,2007-08-17 00:00:00,2007-08-11 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,KLM Royal Dutch Airlines,Property Damage,Checked Baggage,Lamps (including sun lamps),308.5,Denied,0.0,Deny,6.0,308.5
2007031422262,2007-03-13 00:00:00,2007-03-06 00:00:00,BOI,Boise Air Terminal/Gowen Field,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),21.2,Denied,0.0,Deny,7.0,21.2
2007111434946,2007-11-13 00:00:00,2007-10-14 00:00:00,BDL,Bradley International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,40.0,Denied,0.0,Deny,30.0,40.0
0812045M,2003-08-12 00:00:00,2003-06-14 00:00:00,LAX,Los Angeles International Airport,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),300.0,Settled,50.0,Settle,59.0,250.0
2009061059996,2009-06-04 00:00:00,2009-05-13 00:00:00,IND,Indianapolis International,AirTran Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,70.0,Settled,49.0,Settle,22.0,21.0
2005091992769,2005-09-08 00:00:00,2005-08-25 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,130.0,Settled,65.0,Settle,14.0,65.0
2005110795675,2005-10-27 00:00:00,2005-10-21 00:00:00,OMA,Eppley Airfield,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,25.0,Denied,0.0,Deny,6.0,25.0
2006051706467,2006-05-12 00:00:00,2006-04-27 00:00:00,SEA,Seattle-Tacoma International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.); Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,236.49,Denied,0.0,Deny,15.0,236.49
2006020200777,2006-01-26 00:00:00,2006-01-18 00:00:00,SEA,Seattle-Tacoma International,Horizon Air,Passenger Property Loss,Checked Baggage,Jewelry - Fine,250.0,Denied,0.0,Deny,8.0,250.0
2007092032314,2007-09-18 00:00:00,2007-09-12 00:00:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),199.0,Denied,0.0,Deny,6.0,199.0
2005042583239,2005-04-22 00:00:00,2005-04-04 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,45.0,Approved,45.0,Approve in Full,18.0,0.0
0808089M,2003-08-08 00:00:00,2003-06-24 00:00:00,LGA,LaGuardia,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Settled,50.0,Settle,45.0,50.0
2009120365995,2009-11-27 00:00:00,2009-11-06 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,249.99,Denied,0.0,Deny,21.0,249.99
2006030802788,2006-03-06 00:00:00,2006-02-13 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Cameras - Digital,200.0,Denied,0.0,Deny,21.0,200.0
2004062857516,2004-05-27 00:00:00,2004-04-06 00:00:00,TUS,Tucson International,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.0,Settled,75.0,Settle,51.0,75.0
2005100794320,2005-10-04 00:00:00,2005-07-26 00:00:00,CLT,Charlotte/Douglas International Airport,American Airlines,Property Damage,Checked Baggage,DVD/CD Players,120.0,Denied,0.0,Deny,70.0,120.0
2009081262539,2009-08-11 00:00:00,2009-08-10 00:00:00,ORD,Chicago O'Hare International Airport,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,118.47,Approved,118.47,Approve in Full,1.0,0.0
2009080662331,2009-08-04 00:00:00,2009-07-15 00:00:00,SEA,Seattle-Tacoma International,EVA airlines,Passenger Property Loss,Checked Baggage,Alcoholic beverages; Other,69.0,Approved,69.0,Approve in Full,20.0,0.0
2004110866738,2004-09-29 00:00:00,2004-03-17 00:00:00,LAS,McCarran International,American West,Passenger Property Loss,Checked Baggage,Other,21.54,Approved,21.54,Approve in Full,196.0,0.0
0221032L,2003-02-21 00:00:00,2003-01-04 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),55.0,Settled,27.5,Settle,48.0,27.5
2006022101781,2006-02-13 00:00:00,2006-01-21 00:00:00,PSP,Palm Springs International,America West,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,300.0,Settled,250.0,Settle,23.0,50.0
2004063057973,2004-06-08 00:00:00,2004-05-01 00:00:00,IND,Indianapolis International,AirTran Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,62.54,Approved,62.54,Approve in Full,38.0,0.0
2006052306781,2006-05-18 00:00:00,2006-05-09 00:00:00,PDX,Portland International,Southwest Airlines,Passenger Property Loss,Checkpoint,Cell Phones,186.74,Approved,186.74,Approve in Full,9.0,0.0
2006031503107,2006-03-09 00:00:00,2005-12-29 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,17.77,Approved,17.77,Approve in Full,70.0,0.0
2006060907725,2006-06-08 00:00:00,2006-05-31 00:00:00,PIT,Pittsburgh International Airport,Southwest Airlines,Property Damage,Checked Baggage,Computer - Laptop,484.42,Denied,0.0,Deny,8.0,484.42
2004100764805,2004-09-06 00:00:00,2004-08-15 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Denied,0.0,Deny,22.0,75.0
2007021621148,2007-02-14 00:00:00,2007-01-20 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),230.0,Denied,0.0,Deny,25.0,230.0
0226116M,2004-02-26 00:00:00,2003-08-17 00:00:00,GSP,Greenville-Spartanburg,USAir,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),199.43,Settled,100.0,Settle,193.0,99.43
2006120716854,2006-12-01 00:00:00,2006-11-14 00:00:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),150.0,Settled,81.63,Settle,17.0,68.37
2005070187996,2005-06-29 00:00:00,2005-06-10 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),170.0,Denied,0.0,Deny,19.0,170.0
2004062857631,2004-06-07 00:00:00,2004-03-26 00:00:00,TYS,Mcghee Tyson ;Knoxville,American Airlines,Property Damage,Checked Baggage,Other,214.5,Approved,214.5,Approve in Full,73.0,0.0
0114515M,2004-01-14 00:00:00,2003-12-19 00:00:00,TUS,Tucson International,American Airlines,Passenger Property Loss,Checked Baggage,Other,485.96,Approved,485.96,Approve in Full,26.0,0.0
2005032379420,2005-03-04 00:00:00,2004-07-17 00:00:00,PIE,St. Petersburg-Clearwater International,Jet Blue,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,110.0,Approved,110.0,Approve in Full,230.0,0.0
2009041457475,2008-03-26 00:00:00,2008-03-05 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,578.56,Denied,0.0,Deny,21.0,578.56
2007031522389,2007-03-12 00:00:00,2006-10-22 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Locks,390.0,Denied,0.0,Deny,141.0,390.0
2007082830998,2007-08-24 00:00:00,2007-05-17 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,19.31,Approved,19.31,Approve in Full,99.0,0.0
2007021220658,2007-01-18 00:00:00,2007-01-10 00:00:00,PHL,Philadelphia International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,707.48,Denied,0.0,Deny,8.0,707.48
2009041057277,2009-03-20 00:00:00,2009-02-22 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Property Damage,Checked Baggage,Alcoholic beverages,136.05,Denied,0.0,Deny,26.0,136.05
2009052159369,2009-05-21 00:00:00,2009-04-15 00:00:00,SAT,San Antonio International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Denied,0.0,Deny,36.0,75.0
2005121497790,2005-12-06 00:00:00,2005-11-10 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,100.0,Settled,50.0,Settle,26.0,50.0
2005091492426,2005-09-01 00:00:00,2005-08-20 00:00:00,BOI,Boise Air Terminal/Gowen Field,America West,Property Damage,Checked Baggage,Other,326.25,Denied,0.0,Deny,12.0,326.25
2008041642637,2008-04-07 00:00:00,2008-03-29 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checked Baggage,DVD/CD Players,530.0,Denied,0.0,Deny,9.0,530.0
2007082430835,2007-08-21 00:00:00,2007-07-28 00:00:00,PIT,Pittsburgh International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Razors (other than electric),53.95,Denied,0.0,Deny,24.0,53.95
2006041404600,2006-04-04 00:00:00,2006-01-27 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,286.0,Settled,143.0,Settle,67.0,143.0
2009042257863,2009-04-06 00:00:00,2009-02-17 00:00:00,SEA,Seattle-Tacoma International,Southwest Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Scissors; Shears (other than electric),60.0,Denied,0.0,Deny,48.0,60.0
2007072729265,2007-07-25 00:00:00,2007-06-28 00:00:00,LAS,McCarran International,UAL,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,39.0,Approved,39.0,Approve in Full,27.0,0.0
2005020975812,2005-01-19 00:00:00,2005-01-01 00:00:00,SNA,John Wayne,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,385.0,Settled,125.0,Settle,18.0,260.0
0120201M,2004-01-20 00:00:00,2003-12-02 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Other,Luggage (all types including footlockers),470.0,Settled,235.0,Settle,49.0,235.0
2005101494582,2005-10-07 00:00:00,2005-08-05 00:00:00,LSE,La Crosse Municipal,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,200.0,Denied,0.0,Deny,63.0,200.0
2004082661406,2004-07-23 00:00:00,2004-07-07 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,98.5,Denied,0.0,Deny,16.0,98.5
2004052052924,2004-04-15 00:00:00,2004-03-14 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,139.0,Denied,0.0,Deny,32.0,139.0
2006013100643,2006-01-24 00:00:00,2005-12-30 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),60.0,Denied,0.0,Deny,25.0,60.0
2005030977406,2005-02-09 00:00:00,2005-01-14 00:00:00,KOA,Kona International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Other,200.0,Denied,0.0,Deny,26.0,200.0
2005013175024,2005-01-14 00:00:00,2004-12-27 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,199.0,Settled,99.5,Settle,18.0,99.5
2005050283766,2005-04-29 00:00:00,2005-04-07 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,246.0,Settled,123.0,Settle,22.0,123.0
2008040942198,2008-04-02 00:00:00,2008-03-24 00:00:00,ORD,Chicago O'Hare International Airport,USAir,Property Damage,Checkpoint,Baby - Strollers; car seats; playpen; etc.,129.99,Approved,129.99,Approve in Full,9.0,0.0
2008072147177,2008-07-15 00:00:00,2008-05-21 00:00:00,PVD,TF Green Airport; Providence,USAir,Passenger Property Loss,Checkpoint,Medical Equipment & Insturments,71.16,Approved,71.16,Approve in Full,55.0,0.0
2009050458337,2009-04-15 00:00:00,2009-04-14 00:00:00,LGA,LaGuardia,Continental Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.0,Approved,50.0,Approve in Full,1.0,0.0
0603115L,2003-06-03 00:00:00,2003-05-16 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Locks,65.0,Denied,0.0,Deny,18.0,65.0
2007031922460,2007-03-13 00:00:00,2006-11-11 00:00:00,DEN,Denver International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Musical Instruments - Other - inexpensive $100 or less; Other,134.0,Denied,0.0,Deny,122.0,134.0
2005100393711,2005-09-23 00:00:00,2005-08-25 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checkpoint,Jewelry - Fine,80.0,Approved,80.0,Approve in Full,29.0,0.0
2007083131246,2007-08-31 00:00:00,2007-08-26 00:00:00,SAN,San Diego International,American Airlines,Property Damage,Checked Baggage,Other,118.74,Denied,0.0,Deny,5.0,118.74
2005040581472,2005-03-30 00:00:00,2005-02-23 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Medicines,92.09,Approved,92.09,Approve in Full,35.0,0.0
2007121436531,2007-12-12 00:00:00,2007-11-30 00:00:00,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Luggage (all types including footlockers),51.2,Denied,0.0,Deny,12.0,51.2
2008021439664,2008-02-08 00:00:00,2008-01-04 00:00:00,SYR,Syracuse-Hancock International,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,5.99,Denied,0.0,Deny,35.0,5.99
2007090631447,2007-09-04 00:00:00,2005-10-21 00:00:00,RDU,Raleigh-Durham International,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,775.0,Approved,775.0,Approve in Full,683.0,0.0
2004081060960,2004-07-20 00:00:00,2004-07-02 00:00:00,OAK,Metropolitan Oakland International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,26.99,Denied,0.0,Deny,18.0,26.99
2007021621045,2007-02-16 00:00:00,2007-01-06 00:00:00,CLE,Cleveland Hopkins International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,196.04,Denied,0.0,Deny,41.0,196.04
2004092263356,2004-08-13 00:00:00,2004-07-29 00:00:00,DEN,Denver International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,385.0,Approved,385.0,Approve in Full,15.0,0.0
2008061045477,2008-06-05 00:00:00,2008-04-06 00:00:00,TPA,Tampa International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Handbags & Purses (leather or fabric); Other,255.33,Denied,0.0,Deny,60.0,255.33
2004100564423,2004-08-24 00:00:00,2004-07-31 00:00:00,LAX,Los Angeles International Airport,Lan Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),199.99,Settled,50.0,Settle,24.0,149.99
2006100213503,2006-09-26 00:00:00,2006-08-21 00:00:00,PDX,Portland International,Jet Blue,Passenger Property Loss,Checked Baggage,Currency,64.5,Settled,32.25,Settle,36.0,32.25
2007060626349,2007-05-30 00:00:00,2007-04-04 00:00:00,PBI,Palm Beach International,Spirit Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),39.95,Approved,39.95,Approve in Full,56.0,0.0
2004102765684,2004-09-10 00:00:00,2004-08-13 00:00:00,SLC,Salt Lake City International Airport,Jet Blue,Property Damage,Checked Baggage,Other,291.0,Settled,145.5,Settle,28.0,145.5
2008090849639,2008-09-03 00:00:00,2008-08-20 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Brushes - Hair; Clothes; etc.; Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Medicines; Other; Razors (other than electric),175.0,Approved,175.0,Approve in Full,14.0,0.0
2005042983654,2005-04-28 00:00:00,2005-04-07 00:00:00,LAX,Los Angeles International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,470.64,Settled,191.85,Settle,21.0,278.78999999999996
2006041004288,2006-03-28 00:00:00,2006-03-06 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,33.96,Denied,0.0,Deny,22.0,33.96
2005012874857,2005-01-14 00:00:00,2004-12-31 00:00:00,SFB,Orlando Sanford,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,359.0,Settled,179.5,Settle,14.0,179.5
2005062887434,2005-06-21 00:00:00,2005-06-09 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Other,300.0,Denied,0.0,Deny,12.0,300.0
2005060385789,2005-05-31 00:00:00,2005-05-03 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,British Airways,Passenger Property Loss,Checked Baggage,Jewelry - Fine,600.0,Denied,0.0,Deny,28.0,600.0
2004122370769,2004-11-04 00:00:00,2004-09-19 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,46.0,250.0
2006031603229,2006-03-10 00:00:00,2005-09-25 00:00:00,SJC,Norman Y Mineta San Jose International,Alaska Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),109.95,Settled,50.0,Settle,166.0,59.95
2004111867334,2004-10-05 00:00:00,2004-08-26 00:00:00,TRI,Tri-Cities Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,500.0,Approved,500.0,Approve in Full,40.0,0.0
2007041323993,2007-04-11 00:00:00,2007-04-05 00:00:00,TPA,Tampa International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,300.0,Denied,0.0,Deny,6.0,300.0
2006082511566,2006-08-23 00:00:00,2006-08-06 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.); Sporting Equipment & Supplies (footballs; parachutes; etc.),420.0,Settled,249.48,Settle,17.0,170.52
20105,2002-11-27 00:00:00,2002-09-18 00:00:00,MCO,Orlando International Airport,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),95.0,Approved,95.0,Approve in Full,70.0,0.0
2006031002902,2006-03-06 00:00:00,2005-10-13 00:00:00,PSP,Palm Springs International,Northwest Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,179.0,Settled,89.5,Settle,144.0,89.5
2007071928638,2007-07-09 00:00:00,2007-06-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,8.57,Approved,8.57,Approve in Full,21.0,0.0
2007102233775,2007-10-17 00:00:00,2007-10-03 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,250.0,Denied,0.0,Deny,14.0,250.0
0610001L,2003-06-10 00:00:00,2003-05-22 00:00:00,LAS,McCarran International,USAir,Passenger Property Loss,Checked Baggage,Other,52.0,Denied,0.0,Deny,19.0,52.0
2006111615711,2006-11-07 00:00:00,2006-10-29 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Camping Equipment & Supplies ; Camping Equipment & Supplies ; Camping Equipment & Supplies,301.89,Settled,264.58,Settle,9.0,37.31
2008100650822,2008-10-21 00:00:00,2008-09-20 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Computer - Laptop,400.0,Denied,0.0,Deny,31.0,400.0
2008080547993,2008-07-30 00:00:00,2008-06-13 00:00:00,DVL,Devils Lake Municipal Airport; Knoke Field,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),450.0,Settled,50.0,Settle,47.0,400.0
2008011437808,2008-01-08 00:00:00,2008-01-03 00:00:00,JAN,Jackson International,Continental Airlines,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,85.59,Denied,0.0,Deny,5.0,85.59
0806037M,2003-08-06 00:00:00,2003-07-20 00:00:00,BUF,Buffalo Niagara International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),380.0,Denied,0.0,Deny,17.0,380.0
2007061126628,2007-06-06 00:00:00,2007-05-10 00:00:00,MIA,Miami International Airport,Mexicana,Property Damage,Checked Baggage,Cameras - Digital,95.0,Denied,0.0,Deny,27.0,95.0
2009011454496,2008-12-24 00:00:00,2008-08-11 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),121.5,Denied,0.0,Deny,135.0,121.5
2006060507327,2006-05-31 00:00:00,2006-04-28 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Brushes - Hair; Clothes; etc.,20.0,Approved,20.0,Approve in Full,33.0,0.0
1126071M,2003-11-26 00:00:00,2003-11-10 00:00:00,STL,Lambert St. Louis International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,16.0,0.0
2004060654807,2004-04-21 00:00:00,2004-03-30 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Currency,65.0,Approved,65.0,Approve in Full,22.0,0.0
2005081090318,2005-08-02 00:00:00,2005-07-16 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,12.0,Denied,0.0,Deny,17.0,12.0
